Series Name,Series Code,Country Name,Country Code,Inflation
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Finland,FIN,1.043541398
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,France,FRA,0.507700673
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,French Polynesia,PYF,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Gabon,GAB,4.655607891
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Gambia, The",GMB,5.947374922
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Georgia,GEO,3.068870796
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Germany,DEU,0.906797035
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ghana,GHA,15.49316807
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greece,GRC,-1.312242411
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greenland,GRL,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Grenada,GRD,-0.946757299
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guam,GUM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guatemala,GTM,3.418361697
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea,GIN,9.713977334
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea-Bissau,GNB,-1.509244606
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guyana,GUY,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Haiti,HTI,4.566173531
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Honduras,HND,6.129249303
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Hong Kong SAR, China",HKG,4.430929626
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Hungary,HUN,-0.238018573
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iceland,ISL,2.034999715
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,India,IND,6.353194544
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Indonesia,IDN,6.394925408
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Iran, Islamic Rep.",IRN,17.23535868
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iraq,IRQ,2.235974079
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ireland,IRL,0.196785831
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Isle of Man,IMY,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Israel,ISR,0.475956015
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Italy,ITA,0.241057543
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jamaica,JAM,8.290005777
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Japan,JPN,2.748854644
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jordan,JOR,2.808564963
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kazakhstan,KAZ,6.71830658
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kenya,KEN,6.877498097
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kiribati,KIR,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Korea, Dem. Rep.",PRK,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Korea, Rep.",KOR,1.272406427
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kosovo,KSV,0.43301404
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kuwait,KWT,2.908900929
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kyrgyz Republic,KGZ,7.534247298
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lao PDR,LAO,4.13522637
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Latvia,LVA,0.631057021
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lebanon,LBN,0.749718611
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lesotho,LSO,5.340361677
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Liberia,LBR,9.826358043
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Libya,LBY,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Liechtenstein,LIE,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lithuania,LTU,0.106494137
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Luxembourg,LUX,0.629749069
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Macao SAR, China",MAC,6.04090194
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Macedonia, FYR",MKD,-0.28101807
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Madagascar,MDG,6.080595483
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malawi,MWI,24.43367815
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malaysia,MYS,3.142990509
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Maldives,MDV,2.120113096
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mali,MLI,0.892770255
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malta,MLT,0.311500058
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Marshall Islands,MHL,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mauritania,MRT,3.535218852
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mauritius,MUS,3.21769192
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mexico,MEX,4.018617202
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Micronesia, Fed. Sts.",FSM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Moldova,MDA,5.088785832
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Monaco,MCO,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mongolia,MNG,13.02464811
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Montenegro,MNE,-0.710514052
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Morocco,MAR,0.435456491
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mozambique,MOZ,2.559748758
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Myanmar,MMR,5.474464713
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Namibia,NAM,5.350169669
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Nepal,NPL,8.36797877
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Netherlands,NLD,0.95902354
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,New Caledonia,NCL,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,New Zealand,NZL,0.906599199
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Nicaragua,NIC,6.035791868
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Niger,NER,-0.786251476
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Nigeria,NGA,8.057382626
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Northern Mariana Islands,MNP,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Norway,NOR,2.025096285
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Oman,OMN,1.014014839
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Pakistan,PAK,7.191671165
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Palau,PLW,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Panama,PAN,2.637829357
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Papua New Guinea,PNG,5.207939509
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Paraguay,PRY,5.028827675
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Peru,PER,3.226046789
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Philippines,PHL,4.129353234
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Poland,POL,0.106951872
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Portugal,PRT,-0.278153367
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Puerto Rico,PRI,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Qatar,QAT,3.082474313
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Romania,ROM,1.068961022
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Russian Federation,RUS,7.826031987
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Rwanda,RWA,1.269842288
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Samoa,WSM,-0.406816088
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,San Marino,SMR,1.113017052
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sao Tome and Principe,STP,6.987769276
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Saudi Arabia,SAU,2.670525554
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Senegal,SEN,-1.07814992
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Serbia,SRB,2.082447939
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Seychelles,SYC,1.385834546
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sierra Leone,SLE,1.385834546
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Singapore,SGP,1.01010101
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sint Maarten (Dutch part),SXM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Slovak Republic,SVK,-0.07616533
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Slovenia,SVN,0.200074858
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Solomon Islands,SLB,5.165902379
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Somalia,SOM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Africa,ZAF,6.375259009
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Sudan,SSD,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Spain,ESP,-0.14703181
